Geneid	SRR5364316	SRR5364317	SRR5364318	SRR5364321	SRR5364323	SRR5364330
ENSMUSG00000038982	536	533	664	539	623	655
ENSMUSG00000038984	1160	1031	1285	874	1134	1121
ENSMUSG00000038987	39	34	51	41	45	46
ENSMUSG00000038990	993	984	1179	1092	1173	1186
ENSMUSG00000038991	1515	1501	1735	1271	1615	1781
ENSMUSG00000038994	1	1	1	1	1	0
ENSMUSG00000038997	5	3	5	5	3	8
ENSMUSG00000039000	3682	3479	3668	3368	3570	3836
ENSMUSG00000039001	1767	1656	2391	1694	1826	2452
ENSMUSG00000039004	418	355	404	524	579	756
ENSMUSG00000039005	99	69	109	98	92	102
ENSMUSG00000039007	602	556	729	477	614	639
ENSMUSG00000039013	6	4	13	6	11	23
ENSMUSG00000039016	1507	1602	1941	1120	1503	1658
ENSMUSG00000039018	519	505	571	679	638	817
ENSMUSG00000039021	38	44	35	34	42	40
ENSMUSG00000039031	288	233	372	272	269	372
ENSMUSG00000039032	1	0	2	1	0	0
ENSMUSG00000039033	726	670	703	733	690	834
ENSMUSG00000039037	192	175	270	170	202	225
ENSMUSG00000039041	1556	1521	1563	1662	1695	2211
ENSMUSG00000039043	508	461	431	484	530	535
ENSMUSG00000039046	1844	1731	1432	2068	1755	2426
ENSMUSG00000039047	3215	2969	3125	2972	3241	3606
ENSMUSG00000039048	972	992	1039	1197	1152	1547
ENSMUSG00000039050	2625	2447	2692	2742	2688	3256
ENSMUSG00000039055	2	2	0	1	2	1
ENSMUSG00000039057	1256	1163	1034	1277	1069	1515
ENSMUSG00000039058	507	468	596	497	531	573
ENSMUSG00000039059	466	402	462	500	443	585
ENSMUSG00000039062	195	143	104	129	143	226
ENSMUSG00000039063	61	75	60	86	67	98
ENSMUSG00000039065	734	623	538	652	717	603
ENSMUSG00000039067	3224	2914	3261	2887	3138	3491
ENSMUSG00000039068	1185	1027	1029	1015	965	929
ENSMUSG00000039069	509	476	549	398	591	459
ENSMUSG00000039070	6	1	3	2	2	3
ENSMUSG00000039079	5	15	22	10	3	13
ENSMUSG00000039081	129	106	160	143	147	180
ENSMUSG00000039084	34	43	25	12	31	18
ENSMUSG00000039086	1663	1479	1690	1712	1581	1954
ENSMUSG00000039087	3036	3327	3136	2914	3042	2347
ENSMUSG00000039089	633	608	717	589	694	829
ENSMUSG00000039092	8	13	13	5	11	12
ENSMUSG00000039095	5584	5196	4905	4800	5886	5343
ENSMUSG00000039096	958	816	714	1203	1012	1345
ENSMUSG00000039097	6	1	6	3	7	7
ENSMUSG00000039098	1	1	7	0	0	2
ENSMUSG00000039099	19	23	15	13	20	15
ENSMUSG00000039100	10096	8999	9850	10387	9662	11833
ENSMUSG00000039103	718	709	630	710	788	847
ENSMUSG00000039105	3276	3194	3569	3218	3303	4239
ENSMUSG00000039106	266	253	345	313	327	377
ENSMUSG00000039108	3088	2988	3012	3342	3321	3823
ENSMUSG00000039109	121	140	105	174	135	190
ENSMUSG00000039110	98	121	121	52	126	66
ENSMUSG00000039114	2559	2366	2494	1351	2285	2053
ENSMUSG00000039115	162	140	111	104	139	124
ENSMUSG00000039116	178	203	147	125	156	148
ENSMUSG00000039117	1510	1388	1446	1344	1477	1406
ENSMUSG00000039126	11619	11305	12037	11980	12038	13755
ENSMUSG00000039128	2262	2192	2483	2280	2501	2821
ENSMUSG00000039130	630	558	650	599	665	731
ENSMUSG00000039131	140	148	181	138	186	169
ENSMUSG00000039133	18	16	24	26	21	28
ENSMUSG00000039137	2873	2860	2397	3580	3109	3602
ENSMUSG00000039138	0	0	0	0	0	0
ENSMUSG00000039145	2818	2336	2348	3329	2862	3652
ENSMUSG00000039146	0	0	0	0	0	2
ENSMUSG00000039148	1867	1836	2100	2135	2272	2536
ENSMUSG00000039153	22	17	26	29	22	41
ENSMUSG00000039154	980	973	1140	1162	1057	1281
ENSMUSG00000039155	8	8	7	5	6	6
ENSMUSG00000039156	2257	1940	2005	2002	2122	2516
ENSMUSG00000039157	2432	2345	2584	2419	2445	2959
ENSMUSG00000039158	190	179	153	236	244	239
ENSMUSG00000039159	4632	4304	4226	3841	4361	4419
ENSMUSG00000039163	155	120	155	128	138	154
ENSMUSG00000039164	189	180	176	169	196	209
ENSMUSG00000039166	3652	3494	3555	3388	3784	3866
ENSMUSG00000039167	1119	996	1170	914	1166	1041
ENSMUSG00000039168	680	698	554	568	707	711
ENSMUSG00000039174	0	0	0	0	0	0
ENSMUSG00000039176	1882	2006	2142	2144	2132	2138
ENSMUSG00000039178	1544	1434	1444	946	1309	1138
ENSMUSG00000039179	105	91	177	99	78	146
ENSMUSG00000039182	878	829	981	700	838	849
ENSMUSG00000039183	668	706	776	643	648	825
ENSMUSG00000039187	30	26	27	19	22	27
ENSMUSG00000039191	1524	1303	1436	1431	1670	1562
ENSMUSG00000039193	10	12	4	8	9	10
ENSMUSG00000039194	377	362	282	186	268	222
ENSMUSG00000039195	919	912	972	660	911	900
ENSMUSG00000039196	2	1	0	0	0	2
ENSMUSG00000039197	2522	2486	2596	2275	2498	2894
ENSMUSG00000039198	0	0	0	0	0	0
ENSMUSG00000039199	1353	1429	1487	1711	1785	1657
ENSMUSG00000039200	0	1	1	0	1	2
ENSMUSG00000039201	623	600	607	515	603	596
ENSMUSG00000039202	3124	2847	3221	2782	3153	3649
ENSMUSG00000039205	1301	1240	1342	1216	1464	1276
ENSMUSG00000039206	1252	1153	1199	1183	1324	1385
ENSMUSG00000039208	155	156	171	129	140	163
ENSMUSG00000039209	3	1	3	1	0	0
ENSMUSG00000039210	993	836	870	825	844	986
ENSMUSG00000039215	0	0	1	0	0	0
ENSMUSG00000039217	384	435	485	375	409	473
ENSMUSG00000039218	24002	23114	21772	33619	27812	29073
ENSMUSG00000039219	4106	3608	3640	3990	3786	4161
ENSMUSG00000039220	1889	1776	1616	1570	1986	1859
ENSMUSG00000039221	1103	1034	1556	981	1099	1320
ENSMUSG00000039224	0	1	0	3	0	1
ENSMUSG00000039230	1720	1669	1712	1795	1683	2096
ENSMUSG00000039231	754	715	676	783	774	943
ENSMUSG00000039232	14	12	12	13	24	21
ENSMUSG00000039233	2245	2264	2228	2374	2359	2499
ENSMUSG00000039234	343	279	309	343	354	460
ENSMUSG00000039236	20	25	39	17	21	25
ENSMUSG00000039238	44	38	56	63	54	72
ENSMUSG00000039239	557	454	482	463	595	631
ENSMUSG00000039242	996	902	950	1279	1091	1430
ENSMUSG00000039244	548	525	489	541	531	594
ENSMUSG00000039246	140	131	149	106	126	147
ENSMUSG00000039252	4424	3672	4013	5880	5339	6330
ENSMUSG00000039253	1569	1333	1290	1249	1659	1639
ENSMUSG00000039254	620	623	656	545	721	532
ENSMUSG00000039257	157	187	313	236	152	320
ENSMUSG00000039262	12621	11263	10133	15999	13956	16034
ENSMUSG00000039263	814	780	772	950	879	1019
ENSMUSG00000039264	7	3	6	15	9	11
ENSMUSG00000039269	0	0	0	0	0	0
ENSMUSG00000039270	9166	8086	7130	9188	8713	10335
ENSMUSG00000039275	4024	3892	3649	3604	3777	4311
ENSMUSG00000039278	6980	6539	7693	7550	7417	10196
ENSMUSG00000039285	4348	4076	4020	3676	4137	4197
ENSMUSG00000039286	626	532	516	486	591	676
ENSMUSG00000039294	902	882	1056	885	1029	1045
ENSMUSG00000039296	0	0	0	0	0	0
ENSMUSG00000039298	3251	2933	2604	2770	2887	2739
ENSMUSG00000039304	123	105	119	116	113	169
ENSMUSG00000039307	714	595	633	662	694	690
ENSMUSG00000039308	853	921	870	1097	1038	1279
ENSMUSG00000039313	385	327	400	584	505	678
ENSMUSG00000039315	0	2	3	1	0	3
ENSMUSG00000039316	341	342	372	255	322	303
ENSMUSG00000039318	2615	2480	2618	2586	2405	2676
ENSMUSG00000039321	6	9	5	10	9	14
ENSMUSG00000039323	1322	1127	1715	1287	2074	2182
ENSMUSG00000039328	1036	1029	865	607	750	834
ENSMUSG00000039329	0	0	0	0	0	1
ENSMUSG00000039330	6	5	2	6	6	9
ENSMUSG00000039335	0	0	0	0	0	0
ENSMUSG00000039337	0	0	0	0	0	0
ENSMUSG00000039339	0	0	0	1	0	0
ENSMUSG00000039342	1	0	0	0	0	0
ENSMUSG00000039345	410	413	451	524	462	570
ENSMUSG00000039347	7884	7398	8015	7455	8039	9318
ENSMUSG00000039349	380	361	344	406	370	526
ENSMUSG00000039354	2569	2319	2921	2566	2691	2844
ENSMUSG00000039356	478	395	425	554	553	630
ENSMUSG00000039357	1476	1363	1205	984	1170	1075
ENSMUSG00000039358	13	16	24	14	20	36
ENSMUSG00000039361	9405	8668	8375	8155	8997	9546
ENSMUSG00000039364	0	0	0	0	0	0
ENSMUSG00000039367	3365	3133	3406	3327	3456	3585
ENSMUSG00000039372	706	710	475	771	804	796
ENSMUSG00000039375	329	321	406	276	360	376
ENSMUSG00000039376	4	4	5	10	6	19
ENSMUSG00000039377	11	7	10	12	14	15
ENSMUSG00000039382	661	601	721	687	717	755
ENSMUSG00000039384	1086	1165	1020	1054	1195	1362
ENSMUSG00000039385	338	271	345	280	239	406
ENSMUSG00000039391	69	59	68	59	86	95
ENSMUSG00000039395	1254	1237	1184	1107	1273	1211
ENSMUSG00000039396	2	6	0	5	0	0
ENSMUSG00000039405	125	154	153	146	158	220
ENSMUSG00000039410	192	212	300	283	283	497
ENSMUSG00000039414	2416	2144	2117	2360	2393	2545
ENSMUSG00000039419	3049	2502	2918	3410	3285	3982
ENSMUSG00000039427	269	295	315	272	325	377
ENSMUSG00000039428	3186	2899	3327	2874	3268	3251
ENSMUSG00000039431	2099	1999	2297	2377	2281	2773
ENSMUSG00000039438	0	0	1	0	2	1
ENSMUSG00000039449	2965	2706	2330	2600	2923	3056
ENSMUSG00000039450	220	227	235	281	256	380
ENSMUSG00000039452	141	166	141	175	155	242
ENSMUSG00000039456	1648	1584	1690	1470	1740	1780
ENSMUSG00000039457	68	53	41	144	73	120
ENSMUSG00000039458	1313	1150	1167	1699	1551	1790
ENSMUSG00000039461	925	919	899	1032	1082	1328
ENSMUSG00000039462	2	2	2	1	2	1
ENSMUSG00000039463	1510	1435	1682	2100	1888	2394
ENSMUSG00000039470	2412	2125	2017	1596	2105	1941
ENSMUSG00000039473	3006	2732	2536	2588	2639	2897
ENSMUSG00000039474	1364	1279	1069	1324	1532	1571
ENSMUSG00000039476	41	39	39	50	37	85
ENSMUSG00000039477	3438	3000	3040	3692	3356	4008
ENSMUSG00000039478	8268	7190	7678	7298	8206	8713
ENSMUSG00000039480	145	165	163	198	213	256
ENSMUSG00000039481	17	21	40	33	34	44
ENSMUSG00000039483	806	735	853	825	785	891
ENSMUSG00000039485	17909	16987	20394	12802	18262	16464
ENSMUSG00000039488	116	90	168	66	71	106
ENSMUSG00000039492	24	11	24	20	11	16
ENSMUSG00000039496	69	63	69	84	69	94
ENSMUSG00000039497	195	167	168	140	139	176
ENSMUSG00000039501	2263	1920	1965	2311	2142	2524
ENSMUSG00000039508	0	0	0	2	0	0
ENSMUSG00000039509	1358	1175	1278	1390	1417	1571
ENSMUSG00000039512	1732	1594	1695	1657	1780	1819
ENSMUSG00000039515	5536	5529	5854	5222	5985	6889
ENSMUSG00000039518	8	7	13	13	9	15
ENSMUSG00000039519	527	486	503	465	500	535
ENSMUSG00000039521	16	25	10	11	16	26
ENSMUSG00000039523	1881	1830	1718	1752	1873	2056
ENSMUSG00000039529	49	47	65	36	55	44
ENSMUSG00000039531	770	657	609	619	695	635
ENSMUSG00000039533	3347	3313	3552	2529	3013	3239
ENSMUSG00000039536	3062	2744	2797	2801	3001	3278
ENSMUSG00000039539	45	52	47	43	40	50
ENSMUSG00000039540	0	0	0	0	0	0
ENSMUSG00000039542	8214	7027	6290	7324	8860	8534
ENSMUSG00000039543	60	32	53	53	64	68
ENSMUSG00000039545	17	21	18	28	8	18
ENSMUSG00000039546	665	709	691	814	723	949
ENSMUSG00000039552	134	96	110	138	140	164
ENSMUSG00000039555	0	0	0	0	0	0
ENSMUSG00000039556	230	198	177	263	241	330
ENSMUSG00000039563	33	25	50	41	47	69
ENSMUSG00000039568	2376	2205	2206	2374	2469	2746
ENSMUSG00000039577	344	382	409	390	470	463
ENSMUSG00000039578	792	646	679	657	823	805
ENSMUSG00000039579	1325	1208	1529	1248	1182	1610
ENSMUSG00000039585	5606	5077	5415	4501	4928	4877
ENSMUSG00000039599	1332	1339	1246	1319	1501	1491
ENSMUSG00000039601	6456	5435	5637	8089	8258	9775
ENSMUSG00000039607	761	726	1170	568	923	863
ENSMUSG00000039608	0	0	0	0	0	0
ENSMUSG00000039611	1584	1484	1880	1358	1542	1575
ENSMUSG00000039615	115	118	122	111	132	138
ENSMUSG00000039616	34	30	58	55	44	62
ENSMUSG00000039617	2	4	1	4	2	4
ENSMUSG00000039620	3502	3135	3043	3363	3526	3728
ENSMUSG00000039621	5277	4815	4021	3396	4042	3735
ENSMUSG00000039623	641	570	618	613	674	704
ENSMUSG00000039628	19	9	16	14	6	17
ENSMUSG00000039629	7466	7101	7206	7185	8025	7899
ENSMUSG00000039630	27053	24987	26474	26336	25647	27009
ENSMUSG00000039632	60	60	78	75	75	76
ENSMUSG00000039633	513	433	372	525	537	643
ENSMUSG00000039634	466	399	496	411	419	419
ENSMUSG00000039637	1485	1452	1445	1827	1628	2074
ENSMUSG00000039639	0	2	1	1	2	0
ENSMUSG00000039640	1340	1293	1587	993	1333	1338
ENSMUSG00000039646	311	304	254	458	358	462
ENSMUSG00000039648	769	822	815	762	910	772
ENSMUSG00000039652	4480	4093	3884	5164	4933	5945
ENSMUSG00000039653	15	7	8	2	7	11
ENSMUSG00000039656	1711	1690	1914	1803	1869	2219
ENSMUSG00000039660	721	741	716	697	828	797
ENSMUSG00000039661	1661	1587	2042	1621	1727	2339
ENSMUSG00000039662	5305	5243	5013	5130	5154	5434
ENSMUSG00000039670	86	129	111	100	111	164
ENSMUSG00000039671	4700	4307	4644	4876	4742	5069
ENSMUSG00000039672	485	358	622	263	724	565
ENSMUSG00000039676	33	28	41	34	37	50
ENSMUSG00000039678	1832	1766	1461	1797	1844	2109
ENSMUSG00000039680	603	500	663	478	583	624
ENSMUSG00000039682	1823	1661	1854	1371	1764	1830
ENSMUSG00000039683	226	196	167	228	165	254
ENSMUSG00000039684	0	0	0	0	0	0
ENSMUSG00000039686	4967	4844	5315	5570	5474	5958
ENSMUSG00000039691	0	0	1	2	1	2
ENSMUSG00000039693	512	479	409	354	502	456
ENSMUSG00000039697	5236	4845	4164	4147	5208	4736
ENSMUSG00000039699	6	4	0	5	8	9
ENSMUSG00000039701	2126	1930	2034	2171	2175	2440
ENSMUSG00000039703	2181	1950	1979	2054	2166	2564
ENSMUSG00000039704	4486	3713	3184	3741	4106	4313
ENSMUSG00000039706	190	153	290	248	141	347
ENSMUSG00000039710	0	0	0	1	0	0
ENSMUSG00000039713	301	309	347	317	297	442
ENSMUSG00000039714	29	31	22	86	34	72
ENSMUSG00000039715	326	327	330	365	420	469
ENSMUSG00000039716	5165	4509	4543	5681	4715	6097
ENSMUSG00000039717	2337	2112	2537	2112	2440	2422
ENSMUSG00000039720	22	19	30	23	20	30
ENSMUSG00000039725	631	525	529	549	619	654
ENSMUSG00000039728	1348	1251	1469	1347	2246	1755
ENSMUSG00000039735	1860	1781	1592	1371	1675	1885
ENSMUSG00000039737	709	653	721	682	712	789
ENSMUSG00000039738	1600	1393	1565	1348	1387	1374
ENSMUSG00000039740	4536	4039	4500	4726	4794	5884
ENSMUSG00000039741	1116	1148	1177	1489	1334	1631
ENSMUSG00000039742	0	0	0	0	1	0
ENSMUSG00000039745	82	56	121	78	92	143
ENSMUSG00000039747	2239	2117	2053	2296	2269	2891
ENSMUSG00000039748	17	19	10	14	18	18
ENSMUSG00000039753	8512	8389	9053	8191	8169	8902
ENSMUSG00000039754	294	284	288	254	280	313
ENSMUSG00000039756	1573	1442	1423	1279	1363	1551
ENSMUSG00000039759	485	450	579	708	546	779
ENSMUSG00000039760	0	0	0	0	0	0
ENSMUSG00000039763	568	550	602	495	610	547
ENSMUSG00000039765	1443	1275	1534	1606	1408	1730
ENSMUSG00000039768	2155	2056	2140	2350	2451	2728
ENSMUSG00000039770	2785	2675	3093	2837	2953	3247
ENSMUSG00000039771	226	213	220	206	219	228
ENSMUSG00000039774	25	22	42	46	37	56
ENSMUSG00000039775	0	0	0	0	0	0
ENSMUSG00000039781	670	632	813	1210	858	1287
ENSMUSG00000039782	3995	3583	4373	3883	3827	4224
ENSMUSG00000039783	17	19	23	14	17	19
ENSMUSG00000039785	0	0	0	0	0	0
ENSMUSG00000039787	239	296	305	351	309	363
ENSMUSG00000039789	1621	1464	1601	1207	1387	1320
ENSMUSG00000039795	726	683	825	861	811	979
ENSMUSG00000039798	36	38	24	60	43	67
ENSMUSG00000039801	3030	2808	2884	3091	2785	3181
ENSMUSG00000039804	2533	2397	2527	2405	2888	2623
ENSMUSG00000039809	9712	8440	6798	9614	9878	10350
ENSMUSG00000039810	399	396	442	346	389	474
ENSMUSG00000039813	122	86	112	118	163	171
ENSMUSG00000039814	15	26	15	20	16	35
ENSMUSG00000039824	149	163	180	219	226	231
ENSMUSG00000039826	708	746	766	922	829	1026
ENSMUSG00000039828	1036	961	1015	991	1054	1155
ENSMUSG00000039830	586	568	537	470	655	582
ENSMUSG00000039831	1175	1173	1232	1122	1067	1386
ENSMUSG00000039834	1000	1005	997	1013	981	991
ENSMUSG00000039835	2345	2184	1906	2054	2291	2263
ENSMUSG00000039838	1330	1326	1381	1409	1520	1858
ENSMUSG00000039840	2096	1759	1642	2314	1975	2324
ENSMUSG00000039841	1116	990	1087	936	1039	1054
ENSMUSG00000039842	376	365	334	419	419	500
ENSMUSG00000039844	4220	4209	4191	5384	4579	6097
ENSMUSG00000039849	367	353	345	342	363	378
ENSMUSG00000039850	679	620	622	750	808	869
ENSMUSG00000039851	90	76	97	110	115	119
ENSMUSG00000039852	8685	7781	7586	9677	9138	10015
ENSMUSG00000039853	35	34	26	40	32	24
ENSMUSG00000039860	2858	2982	2768	2671	3253	2801
ENSMUSG00000039865	6	6	12	10	16	13
ENSMUSG00000039873	29	13	26	26	24	36
ENSMUSG00000039878	12	24	25	20	17	35
ENSMUSG00000039879	2200	1941	2073	1921	1847	2347
ENSMUSG00000039883	3	2	2	3	3	8
ENSMUSG00000039886	238	194	256	226	214	235
ENSMUSG00000039887	830	784	755	580	714	706
ENSMUSG00000039891	80	48	53	60	70	70
ENSMUSG00000039899	156	150	135	148	133	212
ENSMUSG00000039901	700	639	697	804	779	1033
ENSMUSG00000039903	102	77	99	194	152	204
ENSMUSG00000039904	2266	1978	2168	1493	2049	1832
ENSMUSG00000039908	304	384	368	294	381	313
ENSMUSG00000039910	3582	3045	2716	3306	3222	4138
ENSMUSG00000039911	840	808	694	1026	923	1191
ENSMUSG00000039913	1605	1431	1367	1309	1550	1535
ENSMUSG00000039914	1592	1591	1642	1860	1804	2184
ENSMUSG00000039917	1372	1394	1496	1483	1514	1946
ENSMUSG00000039929	436	474	498	529	482	546
ENSMUSG00000039934	844	897	766	619	738	809
ENSMUSG00000039936	340	354	458	445	403	459
ENSMUSG00000039942	32	27	34	31	40	37
ENSMUSG00000039943	16591	14369	11955	13783	15797	15682
ENSMUSG00000039952	5044	4298	4287	3967	4263	4743
ENSMUSG00000039953	19047	15756	15102	20940	19502	23817
ENSMUSG00000039954	1975	1901	1200	1724	1865	2002
ENSMUSG00000039956	14	13	3	19	7	26
ENSMUSG00000039958	153	131	151	163	184	251
ENSMUSG00000039959	2999	2987	2332	2298	2559	2626
ENSMUSG00000039960	1955	1922	1347	2209	2202	2698
ENSMUSG00000039962	0	0	0	0	0	0
ENSMUSG00000039963	69	61	62	66	67	75
ENSMUSG00000039967	3204	3013	3299	2747	2839	3025
ENSMUSG00000039968	3311	2827	2930	2795	2932	2925
ENSMUSG00000039976	4435	4023	2928	3881	3758	4491
ENSMUSG00000039977	9	4	13	7	12	14
ENSMUSG00000039981	4	3	3	5	4	6
ENSMUSG00000039982	985	994	1072	976	1018	1222
ENSMUSG00000039983	459	429	442	406	446	556
ENSMUSG00000039985	57	52	71	47	51	72
ENSMUSG00000039987	1262	1162	1116	1153	1046	1254
ENSMUSG00000039988	3604	3086	2752	2953	3422	3514
ENSMUSG00000039989	1952	1659	1441	1656	1669	2055
ENSMUSG00000039990	1757	1620	1710	1340	1477	1607
ENSMUSG00000039994	274	241	270	501	358	527
ENSMUSG00000039997	225	202	183	140	196	155
ENSMUSG00000040003	3364	3027	3143	3660	3369	4241
ENSMUSG00000040006	893	902	987	986	1061	1128
ENSMUSG00000040007	899	785	952	1215	971	1221
ENSMUSG00000040009	1103	1051	1159	1087	1117	1324
ENSMUSG00000040010	2719	2776	1881	3321	2894	3709
ENSMUSG00000040013	0	3	1	1	0	1
ENSMUSG00000040016	27	40	30	23	33	47
ENSMUSG00000040017	0	0	0	0	0	0
ENSMUSG00000040018	1014	914	840	1005	1050	1204
ENSMUSG00000040021	3371	3031	2637	2911	3088	3174
ENSMUSG00000040022	1910	1765	1748	1901	2007	2222
ENSMUSG00000040025	1404	1323	1470	1326	1349	1524
ENSMUSG00000040026	7	8	7	13	12	8
ENSMUSG00000040028	4276	3905	4173	3436	4025	4181
ENSMUSG00000040029	2408	2153	2360	2187	2503	2387
ENSMUSG00000040033	2964	3163	3111	4017	3636	3795
ENSMUSG00000040034	275	228	265	247	223	303
ENSMUSG00000040035	9030	8203	11929	11207	10321	12356
ENSMUSG00000040037	11738	9725	9694	11522	11328	13349
ENSMUSG00000040040	799	793	951	965	908	1062
ENSMUSG00000040043	906	910	827	962	1110	1156
ENSMUSG00000040044	2469	2359	2355	2637	2486	2821
ENSMUSG00000040046	3	4	4	4	3	2
ENSMUSG00000040048	3354	3166	3677	2823	3490	3628
ENSMUSG00000040054	2605	2568	2486	3198	2670	3040
ENSMUSG00000040055	2924	2648	2669	3244	3135	3945
ENSMUSG00000040061	32	29	35	26	45	33
ENSMUSG00000040065	0	0	0	0	0	0
ENSMUSG00000040078	296	306	357	231	282	302
ENSMUSG00000040084	121	203	230	334	131	370
ENSMUSG00000040086	1	1	1	0	1	5
ENSMUSG00000040093	676	644	537	648	573	765
ENSMUSG00000040097	7311	6252	7776	8163	7773	10020
ENSMUSG00000040102	1877	1636	1894	1691	1716	1802
ENSMUSG00000040105	2379	2055	1842	2279	2307	2454
ENSMUSG00000040111	14125	13234	11819	15426	14598	15942
ENSMUSG00000040112	1001	905	913	726	1030	932
ENSMUSG00000040113	6	15	14	11	14	12
ENSMUSG00000040118	3892	3554	3823	3075	3373	3852
ENSMUSG00000040121	22	14	14	18	14	20
ENSMUSG00000040123	2791	2477	2415	2833	2850	3099
ENSMUSG00000040124	561	544	630	609	628	745
ENSMUSG00000040125	732	702	758	622	404	852
ENSMUSG00000040127	1	0	3	0	0	0
ENSMUSG00000040128	2023	1713	1948	1725	1738	2180
ENSMUSG00000040132	0	0	0	0	1	1
ENSMUSG00000040133	270	275	328	252	299	306
ENSMUSG00000040134	1	0	0	0	0	0
ENSMUSG00000040136	1979	2218	2413	2223	2398	2231
ENSMUSG00000040138	463	473	459	374	440	462
ENSMUSG00000040139	31	34	54	31	35	42
ENSMUSG00000040140	44	54	57	123	57	107
ENSMUSG00000040146	2115	2127	1705	2114	2469	2381
ENSMUSG00000040147	998	896	1174	957	1146	1184
ENSMUSG00000040148	0	0	2	0	0	0
ENSMUSG00000040151	1969	1725	1804	1668	1791	2120
ENSMUSG00000040152	458	488	364	351	360	578
ENSMUSG00000040154	0	0	0	0	0	0
ENSMUSG00000040158	174	160	174	161	166	222
ENSMUSG00000040163	1	0	0	0	0	0
ENSMUSG00000040164	81	65	55	85	61	148
ENSMUSG00000040165	0	1	0	0	0	2
ENSMUSG00000040167	274	262	227	257	282	340
ENSMUSG00000040170	332	373	187	527	236	294
ENSMUSG00000040174	435	441	444	677	533	747
ENSMUSG00000040177	1246	1052	1029	1160	1151	1270
ENSMUSG00000040181	242	237	203	216	185	249
ENSMUSG00000040183	307	271	421	269	348	442
ENSMUSG00000040187	216	194	210	246	237	216
ENSMUSG00000040188	704	677	629	598	678	734
ENSMUSG00000040189	152	153	136	157	198	289
ENSMUSG00000040195	433	423	383	561	538	591
ENSMUSG00000040197	0	0	0	0	0	0
ENSMUSG00000040204	36	46	44	32	52	39
ENSMUSG00000040205	9	9	8	8	4	5
ENSMUSG00000040209	3489	3027	2503	3667	3428	3517
ENSMUSG00000040212	71	67	65	70	54	93
ENSMUSG00000040213	234	215	225	254	232	321
ENSMUSG00000040217	0	0	0	0	0	0
ENSMUSG00000040219	203	190	198	154	221	204
ENSMUSG00000040220	957	961	937	920	1056	1078
ENSMUSG00000040225	8525	7386	7416	8579	7723	8289
ENSMUSG00000040229	184	170	217	112	156	132
ENSMUSG00000040231	33	45	25	16	28	27
ENSMUSG00000040234	1452	1351	1401	1489	1525	1885
ENSMUSG00000040236	1816	1789	1854	1822	1814	2328
ENSMUSG00000040242	3846	3587	3713	3244	3734	3900
ENSMUSG00000040247	10	7	13	3	3	23
ENSMUSG00000040249	19053	16798	17741	19761	18772	20261
ENSMUSG00000040250	1549	1479	1668	1387	1424	1538
ENSMUSG00000040253	187	168	229	238	165	306
ENSMUSG00000040254	498	535	440	434	476	586
ENSMUSG00000040258	557	470	617	514	605	714
ENSMUSG00000040260	5164	4705	4679	6255	5800	5943
ENSMUSG00000040263	788	818	858	873	909	1101
ENSMUSG00000040264	1	0	1	1	0	0
ENSMUSG00000040265	11514	9940	11565	11174	11499	11540
ENSMUSG00000040268	6259	6312	5830	5927	5424	7100
ENSMUSG00000040269	190	188	220	156	190	231
ENSMUSG00000040270	575	496	424	721	951	899
ENSMUSG00000040272	207	179	192	341	245	341
ENSMUSG00000040274	74	72	59	65	70	43
ENSMUSG00000040276	12267	11201	11650	13443	13952	15776
ENSMUSG00000040280	13	23	27	29	13	18
ENSMUSG00000040282	222	155	194	194	226	256
ENSMUSG00000040283	0	0	7	3	3	3
ENSMUSG00000040284	0	0	0	0	0	0
ENSMUSG00000040287	144	171	158	94	131	112
ENSMUSG00000040289	1511	1452	1470	1167	1311	1542
ENSMUSG00000040296	224	179	343	237	329	307
ENSMUSG00000040297	2234	1984	2198	2292	2310	2675
ENSMUSG00000040298	30	33	8	9	13	27
ENSMUSG00000040302	703	653	691	885	804	899
ENSMUSG00000040310	130	113	74	202	137	228
ENSMUSG00000040312	93	90	121	143	134	166
ENSMUSG00000040314	0	1	0	1	2	6
ENSMUSG00000040321	1410	1282	1314	1246	1358	1326
ENSMUSG00000040322	79	60	69	117	96	159
ENSMUSG00000040323	7	11	9	9	7	9
ENSMUSG00000040325	1517	1304	1057	1408	1513	1457
ENSMUSG00000040327	1909	1848	1690	2006	2026	2055
ENSMUSG00000040328	0	1	7	10	3	15
ENSMUSG00000040329	8	10	7	5	5	8
ENSMUSG00000040331	2284	2147	2498	2387	2561	3090
ENSMUSG00000040339	2519	2137	2110	1602	1850	2053
ENSMUSG00000040340	5	2	3	6	5	3
ENSMUSG00000040345	11	12	16	18	16	22
ENSMUSG00000040350	65	50	63	124	61	119
ENSMUSG00000040351	2658	2370	2277	2024	2097	2334
ENSMUSG00000040354	2119	2096	2135	2039	2263	2085
ENSMUSG00000040356	2216	2178	2494	2541	2446	2837
ENSMUSG00000040359	1900	1672	1732	1873	1910	2271
ENSMUSG00000040363	878	751	849	840	878	963
ENSMUSG00000040364	13	11	22	15	16	28
ENSMUSG00000040365	1375	1334	1180	1442	1531	1623
ENSMUSG00000040367	9	13	9	15	8	11
ENSMUSG00000040370	1130	1072	1018	1195	1269	1361
ENSMUSG00000040372	2560	2337	1842	2230	2838	2522
ENSMUSG00000040373	2352	2309	1932	1834	2242	2236
